"start","end","text"
"370880","401000"," способ оплаты либо с баланса, либо вот здесь вот тот способ, который вам удобен. Например, вот карта РФ. Также здесь есть комиссия, да, определенная. Допустим, пусть нам напишут Telegram. Согласен с правилами. Тут"
"401000","430860"," можно еще диалог с ботом начать. На всякий случай мы его запустим. Пусть будет. Так, и переходим к оплате. Все, сейчас будем вводить номер карточки и оплачивать. Так, я ввела карту. Сейчас посмотрим, как пройдет оплата. Так, платеж успешен. Но как-то криво все"
"430860","456600"," так показывается. Сейчас, подождали. Все, отлично, заказ прошел. На всякий случай принт-скрин сделаю. Все, заказ в процессе оплаты. Платеж обрабатывается. После завершения обработки мы вам все перенаправим, да. Отлично, мы подождали, подождали. Никуда мы не спешим. Все, спасибо за покупку."
"456960","478040"," Проверяйте товар сразу после покупки. Скачиваем. Скачиваем наш txt файл, в котором будет там все необходимое для входа в наш аккаунт. Я думаю, эту я уже запишу с телефоном. Так, и смотрите, мне еще в Telegram-бот, собственно, пришла вся информация, что заказ оплачен. Скачать можно на странице."
"479180","496880"," Справочная информация. Замена. Товар не вывелся. Правила магазина. Задать вопрос. База знаний. Все, это благодаря тому, что мы ввели наш Telegram-профиль при оплате. Мы запустили этого бота. Нам сюда тоже вся информация сразу же пришла. Напоминаю, что в текстовый файл, который нам пришел после"
"496880","517240"," оплаты, там внизу, в самом... на прокси сейчас не смотрите, мы все равно с VPN-ов сидим. По сути, как бы оно нам и заменяет эти прокси. Значит, в чем фишка? У нас там выдается логин, потом двоеточие, пароль, двоеточие, почта, двоеточие, пароль. Вы, когда зайдете в этот текстовый файл,"
"517299","537100"," я сейчас не буду спойлерить там эти все логины, пароли туда-сюда, потому что хочу вам инструкцию полноценную записать и вместе с вами показать работу на аккаунте, чтобы никто его потом не стырил. Вам внизу, в этом текстовом файле, вот в таком формате, придет вся информация. Собственно, по нему мы"
"537100","556800"," сейчас и будем заходить. На почту вы будете входить вот через этот сайт, помним, через first mail мы заходим на почту. Так, я сейчас пойду входить в этот аккаунт, нажимаю. Я уже есть в каком-то из аккаунтов, поэтому я нажимаю именно сюда и здесь нажимаю на добавить аккаунт инсты."
"556900","575660"," Если у вас вообще инсту первый раз выскачиваете, соответственно, там он вам сразу предложит зайти в какой-то аккаунт или зарегистрируется. Значит, здесь он предлагает войти в существующий аккаунт или создать новый аккаунт. Так как я покупала его, я вхожу в существующий. Так, мы сюда вводим имя"
"575660","599740"," пользователя с нашего текстового файлика. Сюда вводим пароль, опять же, с текстового файлика. У нас сначала там логин и пароль инсты идет, потом логин и пароль почты, помним, то есть после двоеточия у вас там все разделено ими. Так, я вставила пароль, теперь нажимаю на войти. Отлично, вот теперь он"
"599740","629590"," предлагает проверить нашу почту. Код, который придет на почту. Мы, опять же, заходим сейчас с вами на, получается, сайт firstmail.ltd. Давайте для начала войдем в firstmail, в почту, веб-почта. Входим в почту. Все, мы зашли по логину"
"629590","652670"," и паролю. Так, и здесь мы увидим, собственно, код. Все, код нам сюда пришел, сейчас мы его введем в инсту. Итак, код нам пришел. Через firstmail мы зашли, пишем наш код и нажимаем на продолжить. Здесь прям немножко ожидаем. У меня, правда, при входе в аккаунт вылезла вот такая ошибка."
"652790","678630"," Я просто полазила, посмотрела и ее закрыла. Так, я сейчас оттуда вышла. Мы сейчас статус и аккаунт все проверим. Разрешаем все куки. Все, получается, мы зашли с вами в аккаунт. В аккаунт сейчас пойдем в настроечки. Окей. Так, и пойдем вниз в статус аккаунта. Все в статусе аккаунта, все окей."
"678710","699110"," Монетизация нас сейчас вообще не интересует. Самое главное, что у нас нет никаких ограничений охвата. Это самое важное. Все, вот наш аккаунт. Так, мы идем с вами в три полосочки. Идем в центр аккаунтов и проверяем также еще. Здесь, если что, пароль можно, да, менять, безопасность, все дела. Значит,"
"699210","719590"," личная информация. И мы видим, что в личной информации вконтактной у нас есть почта и почему-то подвезу номер телефона. Видите, он ожидает подтверждения. Тогда нужно просто его, получается, удалить, потому что здесь висел этот номер телефона. Нам не нужен сейчас удалить номер телефона, чтобы нам"
"719590","749010"," коды приходили именно на почту. Все, сейчас нам опять же через наш сервис, в который мы заходили в почту, заберем код. Мне все пришло, кстати. Сейчас мы введем. Так, сто девяносто пять восемьсот семьдесят три шестьдесят два. Продолжить. Отлично, номер телефона"
"749010","769270"," удален. У нас еще ожидает подтверждение. Аккаунт, я смотрю, да, все, предыдущий номер телефона удален. Закрыть. Отлично. Так, почта у нас, по-моему, подтверждена уже. Да, все, зашибись. Все хорошо, все работает. Видите, бывает такое, что мы купили аккаунт, а там все-таки привязанный старый номер"
"769270","774890"," телефона. Нам он не нужен, мы его просто отвязали, забыли. Все, вот наш покупной аккаунт, все работает. "
