"start","end","text"
"319930","341410"," репостить, чтобы показать, а вот что я думаю, а я тоже так считаю. Вот как должно быть, чтобы люди через наш ролик, по сути, показывали свой образ мысли. Далее. Максимально в ноль убираем в воду абстракции, лозунги, оценочное суждение, предложение бесценности и смысла, пустые оценки и вводные"
"341410","362610"," фразы. Чат GPT любит это делать, особенно иногда обобщает абзацы. Мы это всегда контролируем и не допускаем. Дальше. В некоторых словах можно заменять, особенно если это идет про текст, буквы, чтобы чат GPT, то есть искусственный интеллект Инстаграма не затригерил эти слова. Например, это деньги,"
"363150","385230"," феминизм, ковид, секс. Ни в коем случае никогда в жизни не используем смерть или суицид. Разрушать тоже не используем, заработок не используем. То есть мы там заменяем буквы. По моему опыту в заголовках это не влияет, но в самих текстах это на данный момент сто процентов чекают. И у людей"
"385230","404750"," завышенная собственная значимость, они пишут, когда их не спрашивают. Это очень важно, и мы должны это всегда брать в расчет. Мы должны как будто бы приглашать людей поспорить и высказать свою точку зрения. Люди это очень любят, и это конечно всегда повышает поплеченность, глубину просмотра и как"
"404750","423270"," следствие мы чаще попадаем в реки. Вот, например, разбор ролика всего лишь на 500 тысяч, но который принес больше тысячи подписчиков сразу. Он был на тему, как сделать так, чтобы люди, которые тебя оставили, пожалели. Здесь описание, перестань быть доступным, сделай то, что ты всегда откладывал,"
"423530","443210"," обнови свой образ и так далее. Почему он залетел? Во-первых, он попал в боль людей, зашел в систему ценностей человека. Это болит у многих людей. Это широкая тема, которая актуальна почти каждому. Здесь хороший объем конкретики, деталей и примеров на единицу текста. Он не эталонный, здесь еще не"
"443210","464170"," хватает цифр, каких-то обращений, и это смотрится немножко по шаблонному. Но несмотря на это, ролик залетел. Далее здесь есть поляризация на примерах про отношения. Кто-то говорит, что да, так и надо, кто-то нет, что этими нужно заниматься. В общем, люди зачем-то пишут свои ценные мнения бесплатно"
"464170","484990"," и спорят друг с другом в комментариях. Это очень сильно будет ролик. Далее здесь есть общий враг. Мы человеку показываем, что мы союзник против, по факту, бывших и воюем с бывшими. И это безумно завоевывает любовь всех наших читателей. Далее здесь есть волшебная таблетка. Мы не говорим человеку,"
"485090","501230"," что тут дизонический труд, как правильно себя перепрошить, сделать трансформацию, панковый скачок. Нет, мы здесь говорим, просто передай, будь доступным, сделай то, что ты всегда вкладывал. То есть, фактически простые вещи, которые ощущаются, как, о, блин, это легко, не трю, надо сохранить. Именно"
"501230","517390"," поэтому ролик залетел и принес много подписчиков. Далее три уровня вовлечения в Reels. Нам обязательно нужно быть хотя бы на третьем. На первом уровне до 10 тысяч просмотров ролик просто не вызвал никаких эмоций, с ним не взаимодействуют, его пролистывают. На втором уровне ролик зацепляет,"
"517510","537270"," вовлекает эмоциональным, и люди начинают спорить с тезисами, либо пытаются повысить свою значимость неэкологично. На третьем уровне ролик залетает уже более 100 тысяч просмотров. Это значит, что ролик поляризовал аудиторию и эмоционально вовлек. Люди начали сильно спорить друг с другом, либо"
"537270","557810"," говорить, что да, вау, круто, я за, либо спорить, нет, это не правда, и спорить друг с другом, образовывать свои треды в комментах. Но нам по-хорошему нужно выходить на четвертый уровень. Это все то же самое, плюс дефицит на смысл. То есть мы попадаем в какой-то смысл, который"
"557810","576110"," не был достаточно раскрыт другими авторами, и тогда это 100% ролик на 1, 2, 3, 5 и даже 7 миллионов и выше. Из этих факторов самое важное два. Это поляризация аудитории, чтобы люди спорили друг с другом, и дефицитность идеи, чтобы мы не просто попали в боль, но дали"
"576110","595450"," неизбитую тему, которая еще недостаточно раскрыта в текущей конфигурации инфополя. Что влияет на глубину просмотра ролика? Во-первых, текст вызывает любопытство, но при этом не раскрывает всю суть сразу, что будет дальше. Поэтому его охота дочитать до конца непонятно чем закончится. Во-вторых,"
"595450","615710"," человек зависает в комментариях на 5 минут и участвует в баталиях. И третье, в самом начале ролик дал резкую очищенную через контроверсию провокацию. У человека возникли сильные яркие эмоции и он просто выпал из эмоционального равновесия. Это то, что мы хотим достичь. Что не влияет на продвижение,"
"615810","634050"," никак же вам не поможет. Во-первых, мемы, приколы, которые много набирают. У одного мема может быть 3 миллиона просмотров, но всего лишь 30 подписчиков. Когда у ней расписание на 100 тысяч, просмотров обычно столько же или даже выше. Как часто ролик репостят? Это увеличит просмотры, но не даст"
"634050","655210"," подписки само по себе. У меня обычно бывает до 50-60 репостов в день, но это вообще не коррелирует с приходом аудитории. Далее, вылизанная картинка, но исключение, если у нас в блоге архетип любовника или любовницы. Далее, писать текст самостоятельно, уникальничать, без помощи нейросетей. Далее,"
"655310","673090"," выкладывать то, с чем ты не согласен фундаментально, просто ради просмотров, потому что мы не к тому греем. И хештеги, время выкладки, трендовый звук, это само по себе не влияет. Если не учитывать эти факторы, то ролики навсегда останутся на уровне до 10 тысяч просмотров и аккаунт не вырастет с"
"673090","693110"," уровня микроблог. Повторы домашком. В каждом ролике должны быть учтены эти 8 факторов веральности. Запомни их, скопируй к себе, чтобы использовать как чек-лист для себя и для джиппетишки. Ролик должен выйти минимум на третий уровень вовлечения, чтобы залететь из-за поляризации аудитории через"
"693110","701110"," дефицитные и цепляющие идеи. И напоследок, чем больше глубина просмотра, тем больше просмотров. Мы ее максимизируем. "
